,points
1672893000,"{'v': [2.2189944151370837, 38693222.41, 2710282399.2808385, 0.00013177153070421528, 160945.90322430633], 'c': [2.2189944151370837, 38693222.41, 2710282399.2808385]}"
1672893600,"{'v': [2.2201782755649906, 38596529.51, 2711728367.805623, 0.0001318587055160528, 161052.3786424381], 'c': [2.2201782755649906, 38596529.51, 2711728367.805623]}"
1672894500,"{'v': [2.2176506437371937, 38580182.2, 2708641115.306019, 0.0001316518007610173, 160799.66493028324], 'c': [2.2176506437371937, 38580182.2, 2708641115.306019]}"
1672895400,"{'v': [2.211292120026876, 38595935.07, 2700874806.93682, 0.00013125148123228824, 160310.7141851162], 'c': [2.211292120026876, 38595935.07, 2700874806.93682]}"
1672896300,"{'v': [2.21325967791176, 38578906.3, 2703277984.4611034, 0.00013132714874323535, 160403.1345723503], 'c': [2.21325967791176, 38578906.3, 2703277984.4611034]}"
1672897200,"{'v': [2.2122073388469476, 38593424.26, 2701992656.284529, 0.00013132239879628242, 160397.33298153232], 'c': [2.2122073388469476, 38593424.26, 2701992656.284529]}"
1672898100,"{'v': [2.2102578587764996, 38584623.07, 2699611559.024148, 0.00013118048911204476, 160224.0043256091], 'c': [2.2102578587764996, 38584623.07, 2699611559.024148]}"
1672899000,"{'v': [2.209353120894375, 38625946.18, 2698506511.1064253, 0.00013116802558992314, 160208.78136497035], 'c': [2.209353120894375, 38625946.18, 2698506511.1064253]}"
1672899900,"{'v': [2.2070678979338227, 38187946.06, 2695715337.0835586, 0.0001310474189587191, 160061.4722831813], 'c': [2.2070678979338227, 38187946.06, 2695715337.0835586]}"
1672900500,"{'v': [2.205753531868948, 38190184.42, 2694109968.819654, 0.00013107514692313127, 160095.33925166106], 'c': [2.205753531868948, 38190184.42, 2694109968.819654]}"
1672901400,"{'v': [2.20444948816782, 38195860.21, 2692517208.303021, 0.0001310359032244882, 160047.4069517916], 'c': [2.20444948816782, 38195860.21, 2692517208.303021]}"
1672902300,"{'v': [2.2041558627707514, 37863117.55, 2692158573.89627, 0.0001310036070992403, 160007.96042627207], 'c': [2.2041558627707514, 37863117.55, 2692158573.89627]}"
1672903200,"{'v': [2.2052093712750924, 37683920.48, 2693445330.427665, 0.0001310950078903249, 160119.59746044717], 'c': [2.2052093712750924, 37683920.48, 2693445330.427665]}"
1672904100,"{'v': [2.201199841087689, 37703094.71, 2688548085.521516, 0.00013087204024389166, 159847.2645137688], 'c': [2.201199841087689, 37703094.71, 2688548085.521516]}"
1672905000,"{'v': [2.2004600394936893, 37406773.85, 2687644490.980899, 0.0001308206946706604, 159784.55096998502], 'c': [2.2004600394936893, 37406773.85, 2687644490.980899]}"
1672905900,"{'v': [2.2012500481873114, 37481478.17, 2688609408.532289, 0.0001307855345882164, 159741.60640376387], 'c': [2.2012500481873114, 37481478.17, 2688609408.532289]}"
1672906800,"{'v': [2.2026455328418724, 37444594.18, 2690313855.1374373, 0.00013092130660906156, 159907.4385103709], 'c': [2.2026455328418724, 37444594.18, 2690313855.1374373]}"
1672907400,"{'v': [2.2007797319050275, 37203577.64, 2688034963.669664, 0.00013083402114477633, 159800.8279412088], 'c': [2.2007797319050275, 37203577.64, 2688034963.669664]}"
1672908300,"{'v': [2.201468032002897, 37083993.94, 2688875654.222084, 0.00013099222387360937, 159994.05694104286], 'c': [2.201468032002897, 37083993.94, 2688875654.222084]}"
1672909200,"{'v': [2.194774285939445, 37244554.02, 2680699904.87487, 0.0001305315584012941, 159431.39958911107], 'c': [2.194774285939445, 37244554.02, 2680699904.87487]}"
1672910100,"{'v': [2.180132373904379, 37323986.51, 2662816256.223142, 0.00012972224871274826, 158442.90777972646], 'c': [2.180132373904379, 37323986.51, 2662816256.223142]}"
1672911000,"{'v': [2.1797498128347996, 37462164.04, 2662348995.680953, 0.0001296373492070367, 158339.21142318405], 'c': [2.1797498128347996, 37462164.04, 2662348995.680953]}"
1672911900,"{'v': [2.178601824006843, 37588674.97, 2660946840.7707124, 0.00012958728230338243, 158278.0596479317], 'c': [2.178601824006843, 37588674.97, 2660946840.7707124]}"
1672912800,"{'v': [2.1825558832166037, 37698796.47, 2665776333.3592577, 0.00012987633136565937, 158631.10451396368], 'c': [2.1825558832166037, 37698796.47, 2665776333.3592577]}"
1672913700,"{'v': [2.1884657206184963, 37601141.96, 2672994615.7414474, 0.00013009430160834345, 158897.3336258009], 'c': [2.1884657206184963, 37601141.96, 2672994615.7414474]}"
1672914300,"{'v': [2.197153807508812, 37660883.64, 2683606255.32991, 0.00013054195472451166, 159444.09767056708], 'c': [2.197153807508812, 37660883.64, 2683606255.32991]}"
1672915200,"{'v': [2.1945619861733423, 37701360.64, 2680440601.689826, 0.00013033339841405929, 159189.36674667554], 'c': [2.1945619861733423, 37701360.64, 2680440601.689826]}"
1672916100,"{'v': [2.1936209729274965, 37781027.72, 2679291247.0000134, 0.00013027714802411257, 159120.6624539629], 'c': [2.1936209729274965, 37781027.72, 2679291247.0000134]}"
1672917000,"{'v': [2.192413499609545, 37734594.46, 2677816437.663441, 0.00013026422860800085, 159104.8826638662], 'c': [2.192413499609545, 37734594.46, 2677816437.663441]}"
1672917900,"{'v': [2.1961628172507544, 37778945.61, 2682395858.6583586, 0.00013048502652956013, 159374.56550602106], 'c': [2.1961628172507544, 37778945.61, 2682395858.6583586]}"
1672918800,"{'v': [2.1962504891795347, 37824789.46, 2682502941.2557116, 0.0001304652956909197, 159350.46623640353], 'c': [2.1962504891795347, 37824789.46, 2682502941.2557116]}"
1672919700,"{'v': [2.197965508145448, 37733024.02, 2684597667.4461155, 0.00013052836079503099, 159427.49402904496], 'c': [2.197965508145448, 37733024.02, 2684597667.4461155]}"
1672920600,"{'v': [2.2015842350898613, 37692053.71, 2689017584.809738, 0.00013073985523234859, 159685.8135845596], 'c': [2.2015842350898613, 37692053.71, 2689017584.809738]}"
1672921200,"{'v': [2.195357901706406, 37699822.46, 2681412733.861886, 0.0001304758075238569, 159363.30540156752], 'c': [2.195357901706406, 37699822.46, 2681412733.861886]}"
1672922100,"{'v': [2.1970255677172648, 37688557.73, 2683449623.0970626, 0.00013052293397718985, 159420.8657073247], 'c': [2.1970255677172648, 37688557.73, 2683449623.0970626]}"
1672923000,"{'v': [2.196998356177351, 37615627.5, 2683416386.890075, 0.000130528537729564, 159427.71013709254], 'c': [2.196998356177351, 37615627.5, 2683416386.890075]}"
1672923900,"{'v': [2.1955524173006857, 37595670.7, 2681650315.4384623, 0.00013046589908407246, 159351.2032215129], 'c': [2.1955524173006857, 37595670.7, 2681650315.4384623]}"
1672924800,"{'v': [2.1950407406544974, 37574932.08, 2681025352.978518, 0.00013054553265828305, 159448.46776310098], 'c': [2.1950407406544974, 37574932.08, 2681025352.978518]}"
1672925700,"{'v': [2.194984304657837, 37529934.02, 2680956421.985546, 0.00013051620970261414, 159412.65267041657], 'c': [2.194984304657837, 37529934.02, 2680956421.985546]}"
1672926600,"{'v': [2.193920459391032, 37472694.25, 2679657040.120269, 0.00013052690559048498, 159425.71664049383], 'c': [2.193920459391032, 37472694.25, 2679657040.120269]}"
1672927500,"{'v': [2.190597931795748, 37388464.6, 2675598900.991484, 0.00013043253550974556, 159310.45291242766], 'c': [2.190597931795748, 37388464.6, 2675598900.991484]}"
1672928100,"{'v': [2.187915157889773, 37240033.63, 2672322157.77437, 0.00013014684877138362, 158961.51479279634], 'c': [2.187915157889773, 37240033.63, 2672322157.77437]}"
1672929000,"{'v': [2.188862298217301, 37206334.14, 2673478996.0889854, 0.00013014079208547726, 158954.1171494774], 'c': [2.188862298217301, 37206334.14, 2673478996.0889854]}"
1672929900,"{'v': [2.1897373914026086, 37268622.48, 2674547835.9390054, 0.00013037237797852344, 159236.97643274695], 'c': [2.1897373914026086, 37268622.48, 2674547835.9390054]}"
1672930800,"{'v': [2.1885271848136902, 37308142.07, 2673069688.1820464, 0.00012998847053155894, 158768.0714236298], 'c': [2.1885271848136902, 37308142.07, 2673069688.1820464]}"
1672931700,"{'v': [2.1892275934608807, 37340706.46, 2673925168.1309075, 0.00012980318891863625, 158541.76824278844], 'c': [2.1892275934608807, 37340706.46, 2673925168.1309075]}"
1672932600,"{'v': [2.1904087058149764, 37360564.33, 2675367780.1550937, 0.00012997126860117472, 158747.06096554303], 'c': [2.1904087058149764, 37360564.33, 2675367780.1550937]}"
1672933500,"{'v': [2.1929491227913833, 37304145, 2678470648.4503098, 0.0001300246786247415, 158812.29603140475], 'c': [2.1929491227913833, 37304145, 2678470648.4503098]}"
