,points
1673095500,"{'v': [2.1669362730115473, 36172980.56, 2646698523.0080423, 0.0001280710348083279, 156426.11316678382], 'c': [2.1669362730115473, 36172980.56, 2646698523.0080423]}"
1673096400,"{'v': [2.1688063505580866, 36106437.71, 2648982637.9319468, 0.00012816289891605278, 156538.3160964505], 'c': [2.1688063505580866, 36106437.71, 2648982637.9319468]}"
1673097300,"{'v': [2.1713223909506234, 35991243.17, 2652055732.638835, 0.00012827434968061915, 156674.4421919152], 'c': [2.1713223909506234, 35991243.17, 2652055732.638835]}"
1673097900,"{'v': [2.1692384578095765, 35888414.34, 2649510414.2392354, 0.00012814144608944646, 156512.1135886977], 'c': [2.1692384578095765, 35888414.34, 2649510414.2392354]}"
1673098800,"{'v': [2.1717181130627656, 35822844.48, 2652539068.0939536, 0.00012822782306858528, 156617.6145330291], 'c': [2.1717181130627656, 35822844.48, 2652539068.0939536]}"
1673099700,"{'v': [2.169348458217879, 35666903.78, 2649644768.8678465, 0.00012809518189872487, 156455.6064515124], 'c': [2.169348458217879, 35666903.78, 2649644768.8678465]}"
1673100600,"{'v': [2.168008932985668, 35608852.93, 2648008671.167245, 0.00012815742146367662, 156531.6259296494], 'c': [2.168008932985668, 35608852.93, 2648008671.167245]}"
1673101500,"{'v': [2.1715910647405052, 35551647.26, 2652383891.1231003, 0.00012832778315182127, 156739.70589674643], 'c': [2.1715910647405052, 35551647.26, 2652383891.1231003]}"
1673102400,"{'v': [2.169367632837013, 35583534.87, 2649668188.7703023, 0.00012813560601308613, 156504.9805125341], 'c': [2.169367632837013, 35583534.87, 2649668188.7703023]}"
1673103300,"{'v': [2.1629491254843054, 35059323.06, 2641828616.309448, 0.0001277149386897177, 155991.17694696377], 'c': [2.1629491254843054, 35059323.06, 2641828616.309448]}"
1673104200,"{'v': [2.162092051852761, 34981910.17, 2640781785.5636754, 0.00012760899864449273, 155861.78165061082], 'c': [2.162092051852761, 34981910.17, 2640781785.5636754]}"
1673104800,"{'v': [2.161543743887502, 34927212.01, 2640112081.5673566, 0.000127568516771109, 155812.33704265085], 'c': [2.161543743887502, 34927212.01, 2640112081.5673566]}"
1673105700,"{'v': [2.157208080821809, 34942072.13, 2634816497.5785007, 0.0001273191091595489, 155507.71029134092], 'c': [2.157208080821809, 34942072.13, 2634816497.5785007]}"
1673106600,"{'v': [2.15909980919478, 34884631.84, 2637127056.8473787, 0.0001274361471501519, 155650.66063128534], 'c': [2.15909980919478, 34884631.84, 2637127056.8473787]}"
1673107500,"{'v': [2.159577443285733, 34850465.68, 2637710439.690155, 0.0001274597487519137, 155679.48765555068], 'c': [2.159577443285733, 34850465.68, 2637710439.690155]}"
1673108400,"{'v': [2.160121447578029, 34759442.68, 2638374887.1752343, 0.0001275520427519378, 155792.2156561793], 'c': [2.160121447578029, 34759442.68, 2638374887.1752343]}"
1673109300,"{'v': [2.163325524040977, 34650465.35, 2642288349.951093, 0.00012777612728087962, 156065.91276447268], 'c': [2.163325524040977, 34650465.35, 2642288349.951093]}"
1673110200,"{'v': [2.1632158215757467, 34612731.55, 2642154359.230502, 0.00012781705390391872, 156115.900590187], 'c': [2.1632158215757467, 34612731.55, 2642154359.230502]}"
1673111100,"{'v': [2.1630865524025293, 34522158.55, 2641996469.7096677, 0.0001277738613305417, 156063.14513005386], 'c': [2.1630865524025293, 34522158.55, 2641996469.7096677]}"
1673111700,"{'v': [2.158061065755502, 34439145.5, 2635858334.3838887, 0.0001274663816603125, 155687.5890977024], 'c': [2.158061065755502, 34439145.5, 2635858334.3838887]}"
1673112600,"{'v': [2.1612829803211926, 34304782.94, 2639793584.6395044, 0.0001276407982091571, 155900.6216764472], 'c': [2.1612829803211926, 34304782.94, 2639793584.6395044]}"
1673113500,"{'v': [2.1629121153381923, 34019289.46, 2641783412.0732765, 0.00012771355334164318, 155989.48488118948], 'c': [2.1629121153381923, 34019289.46, 2641783412.0732765]}"
1673114400,"{'v': [2.1592712722174103, 34026452.59, 2637336481.9857173, 0.0001274918083123849, 155718.64524057254], 'c': [2.1592712722174103, 34026452.59, 2637336481.9857173]}"
1673115300,"{'v': [2.1618641598499493, 33709566.5, 2640503438.0023007, 0.00012762528905463854, 155881.67877680188], 'c': [2.1618641598499493, 33709566.5, 2640503438.0023007]}"
1673116200,"{'v': [2.161557463931614, 33760292.44, 2640128839.245438, 0.00012758071873824128, 155827.24053971673], 'c': [2.161557463931614, 33760292.44, 2640128839.245438]}"
1673117100,"{'v': [2.1618278173966026, 33760994.38, 2640459049.286863, 0.00012759158526324274, 155840.51292618687], 'c': [2.1618278173966026, 33760994.38, 2640459049.286863]}"
1673118000,"{'v': [2.1625029408787406, 33699531.9, 2641283645.905267, 0.00012762535642267607, 155881.7610602025], 'c': [2.1625029408787406, 33699531.9, 2641283645.905267]}"
1673118600,"{'v': [2.166932078945618, 33725329.55, 2646693400.370963, 0.00012788396966839551, 156197.63158394647], 'c': [2.166932078945618, 33725329.55, 2646693400.370963]}"
1673119500,"{'v': [2.164969124962622, 33594616.65, 2644295846.0578833, 0.00012775676827135536, 156042.26764737678], 'c': [2.164969124962622, 33594616.65, 2644295846.0578833]}"
1673120400,"{'v': [2.16375663979533, 33512830.84, 2642814915.2426076, 0.0001276819632007062, 155950.9006457411], 'c': [2.16375663979533, 33512830.84, 2642814915.2426076]}"
1673121300,"{'v': [2.163625383671712, 33183509.61, 2642654598.858207, 0.00012767869055545103, 155946.90343296144], 'c': [2.163625383671712, 33183509.61, 2642654598.858207]}"
1673122200,"{'v': [2.159635083451669, 32988368.77, 2637780841.456902, 0.0001274187531802532, 155629.4156159088], 'c': [2.159635083451669, 32988368.77, 2637780841.456902]}"
1673123100,"{'v': [2.1590663408613064, 32897068.98, 2637086178.585348, 0.00012739982035161058, 155606.29103664498], 'c': [2.1590663408613064, 32897068.98, 2637086178.585348]}"
1673124000,"{'v': [2.1581324468915954, 32890657.95, 2635945519.3878145, 0.00012736973010803556, 155569.5387776059], 'c': [2.1581324468915954, 32890657.95, 2635945519.3878145]}"
1673124900,"{'v': [2.157598333584117, 32804925.05, 2635293152.7632723, 0.00012730032647948942, 155484.76910373394], 'c': [2.157598333584117, 32804925.05, 2635293152.7632723]}"
1673125500,"{'v': [2.156404475487266, 32772583.85, 2633834973.073832, 0.0001272225273175704, 155389.74511548525], 'c': [2.156404475487266, 32772583.85, 2633834973.073832]}"
1673126400,"{'v': [2.1564237996624787, 32765429.19, 2633858575.644259, 0.00012724820971795866, 155421.11362965038], 'c': [2.1564237996624787, 32765429.19, 2633858575.644259]}"
1673127300,"{'v': [2.1572674394433764, 32834589.42, 2634888998.2689857, 0.00012730439955453067, 155489.74396239963], 'c': [2.1572674394433764, 32834589.42, 2634888998.2689857]}"
1673128200,"{'v': [2.154072092600604, 32697278.08, 2630986197.861519, 0.00012710589058071944, 155247.2848673475], 'c': [2.154072092600604, 32697278.08, 2630986197.861519]}"
1673129100,"{'v': [2.1560078416641075, 32604050.58, 2633350524.053802, 0.00012726366223319834, 155439.98735001357], 'c': [2.1560078416641075, 32604050.58, 2633350524.053802]}"
1673130000,"{'v': [2.1572756800086017, 32527197.04, 2634899063.305084, 0.00012734078217437213, 155534.1817372419], 'c': [2.1572756800086017, 32527197.04, 2634899063.305084]}"
1673130900,"{'v': [2.1545661373053395, 32488452.89, 2631589624.64735, 0.0001271908221555894, 155351.02039319786], 'c': [2.1545661373053395, 32488452.89, 2631589624.64735]}"
1673131800,"{'v': [2.1561180430218516, 32418663.71, 2633485124.1222982, 0.00012725388455310396, 155428.04487999884], 'c': [2.1561180430218516, 32418663.71, 2633485124.1222982]}"
1673132400,"{'v': [2.1541916617148438, 32400937.76, 2631132239.7188625, 0.00012713740985644242, 155285.7825479398], 'c': [2.1541916617148438, 32400937.76, 2631132239.7188625]}"
1673133300,"{'v': [2.158550244878142, 32397981.5, 2636455818.342002, 0.00012738404605956951, 155587.02429771662], 'c': [2.158550244878142, 32397981.5, 2636455818.342002]}"
1673134200,"{'v': [2.164942915467803, 32357405.8, 2644263833.7499576, 0.00012774618955960134, 156029.34679634694], 'c': [2.164942915467803, 32357405.8, 2644263833.7499576]}"
1673135100,"{'v': [2.1623207752300084, 32246586.43, 2641061148.5667677, 0.00012758164479238242, 155828.3716233384], 'c': [2.1623207752300084, 32246586.43, 2641061148.5667677]}"
1673136000,"{'v': [2.1613228880848796, 32125922.02, 2639842328.029203, 0.00012748049492045753, 155704.82705031132], 'c': [2.1613228880848796, 32125922.02, 2639842328.029203]}"
1673136900,"{'v': [2.161840780084399, 32104556.27, 2640474881.929046, 0.00012748606906778218, 155711.63532043673], 'c': [2.161840780084399, 32104556.27, 2640474881.929046]}"
1673137800,"{'v': [2.1606044169509233, 32110894.06, 2638964786.537674, 0.00012749172016790903, 155718.5375808056], 'c': [2.1606044169509233, 32110894.06, 2638964786.537674]}"
1673138700,"{'v': [2.159209687562108, 32126909.39, 2637261262.4149995, 0.00012756856895514086, 155812.40078028897], 'c': [2.159209687562108, 32126909.39, 2637261262.4149995]}"
1673139300,"{'v': [2.1599017070698374, 32115051.68, 2638106495.8590155, 0.0001275351637620869, 155771.59963804134], 'c': [2.1599017070698374, 32115051.68, 2638106495.8590155]}"
1673140200,"{'v': [2.1590170669377646, 32056130.33, 2637025995.3569417, 0.0001274370615681703, 155651.7775025329], 'c': [2.1590170669377646, 32056130.33, 2637025995.3569417]}"
1673141100,"{'v': [2.162843024379123, 32054812.95, 2641699024.2942724, 0.00012768604506623927, 155955.88624112387], 'c': [2.162843024379123, 32054812.95, 2641699024.2942724]}"
1673142000,"{'v': [2.161635247117017, 32050552.09, 2640223843.7199516, 0.00012767166439862067, 155938.32167671094], 'c': [2.161635247117017, 32050552.09, 2640223843.7199516]}"
1673142900,"{'v': [2.1628661224635124, 32031660.19, 2641727236.3218246, 0.00012768878011083017, 155959.22682781727], 'c': [2.1628661224635124, 32031660.19, 2641727236.3218246]}"
1673143800,"{'v': [2.160285082721055, 32028609.92, 2638574751.332179, 0.0001275176135860046, 155750.16383224766], 'c': [2.160285082721055, 32028609.92, 2638574751.332179]}"
1673144700,"{'v': [2.16299749089274, 31949301.89, 2641887689.8764296, 0.00012772126911494156, 155998.90893580843], 'c': [2.16299749089274, 31949301.89, 2641887689.8764296]}"
1673145600,"{'v': [2.1616083666899004, 31778500.04, 2640191011.9345255, 0.00012769206008530592, 155963.2329925156], 'c': [2.1616083666899004, 31778500.04, 2640191011.9345255]}"
1673146200,"{'v': [2.1610774703157665, 31725398.69, 2639542574.4761696, 0.00012764207590707928, 155902.18225819827], 'c': [2.1610774703157665, 31725398.69, 2639542574.4761696]}"
1673147100,"{'v': [2.1611645307664564, 31603838.74, 2639648910.2134604, 0.0001276019167565729, 155853.1318243418], 'c': [2.1611645307664564, 31603838.74, 2639648910.2134604]}"
1673148000,"{'v': [2.1613811832301457, 31521713.88, 2639913529.7884774, 0.00012762750642535787, 155884.3870760172], 'c': [2.1613811832301457, 31521713.88, 2639913529.7884774]}"
1673148900,"{'v': [2.161703120106621, 31440236.94, 2640306743.8696117, 0.00012763249920364275, 155890.48526131082], 'c': [2.161703120106621, 31440236.94, 2640306743.8696117]}"
1673149800,"{'v': [2.162108283135027, 31332641.47, 2640801610.4710045, 0.00012761367626332317, 155867.49489977458], 'c': [2.162108283135027, 31332641.47, 2640801610.4710045]}"
1673150700,"{'v': [2.1633709476176692, 31421260.91, 2642343830.3613105, 0.0001276564052091449, 155919.68408466413], 'c': [2.1633709476176692, 31421260.91, 2642343830.3613105]}"
1673151600,"{'v': [2.1669623034522116, 31481610.12, 2646730316.6190114, 0.00012787561494002146, 156187.42710884346], 'c': [2.1669623034522116, 31481610.12, 2646730316.6190114]}"
1673152200,"{'v': [2.165352471221694, 31531650.99, 2644764065.6314454, 0.000127792038045032, 156085.346190599], 'c': [2.165352471221694, 31531650.99, 2644764065.6314454]}"
1673153100,"{'v': [2.16488670429905, 31557735.9, 2644195177.362057, 0.00012776910912012704, 156057.34077464102], 'c': [2.16488670429905, 31557735.9, 2644195177.362057]}"
1673154000,"{'v': [2.168828627088281, 31520312.08, 2649009846.512235, 0.00012802601950864762, 156371.13142659125], 'c': [2.168828627088281, 31520312.08, 2649009846.512235]}"
1673154900,"{'v': [2.1681694913493947, 31490430.65, 2648204777.34232, 0.0001279798315613685, 156314.71741323656], 'c': [2.1681694913493947, 31490430.65, 2648204777.34232]}"
1673155800,"{'v': [2.1678917089933414, 31516249.7, 2647865493.6445756, 0.00012794113354522085, 156267.4516106115], 'c': [2.1678917089933414, 31516249.7, 2647865493.6445756]}"
1673156700,"{'v': [2.1714338757272067, 31545412.49, 2652191900.2766175, 0.00012812919517094068, 156497.15030236644], 'c': [2.1714338757272067, 31545412.49, 2652191900.2766175]}"
1673157600,"{'v': [2.171338974289956, 31550713.7, 2652075987.549081, 0.00012811457454666017, 156479.29265460328], 'c': [2.171338974289956, 31550713.7, 2652075987.549081]}"
1673158500,"{'v': [2.1718895813458907, 31562449.44, 2652748499.6574664, 0.00012815799161469628, 156532.32231277812], 'c': [2.1718895813458907, 31562449.44, 2652748499.6574664]}"
1673159100,"{'v': [2.1679080018118553, 31611934.24, 2647885393.7123504, 0.00012792583102379744, 156248.76109287265], 'c': [2.1679080018118553, 31611934.24, 2647885393.7123504]}"
1673160000,"{'v': [2.167904254971715, 31647135.9, 2647880817.317378, 0.00012793115035382465, 156255.25812885], 'c': [2.167904254971715, 31647135.9, 2647880817.317378]}"
1673160900,"{'v': [2.1670038732124897, 31659648.94, 2646781089.973309, 0.0001278854932520056, 156199.49249076718], 'c': [2.1670038732124897, 31659648.94, 2646781089.973309]}"
1673161800,"{'v': [2.1639853957133153, 31720801.64, 2643094317.9909954, 0.00012768044160699844, 155949.04216938943], 'c': [2.1639853957133153, 31720801.64, 2643094317.9909954]}"
1673162700,"{'v': [2.16817615057949, 31808795.74, 2648212910.933823, 0.00012791965723157718, 156241.22041576356], 'c': [2.16817615057949, 31808795.74, 2648212910.933823]}"
1673163600,"{'v': [2.1718200684203297, 31816121.76, 2652663596.4880915, 0.00012811166781390518, 156475.74236778347], 'c': [2.1718200684203297, 31816121.76, 2652663596.4880915]}"
1673164500,"{'v': [2.171031633284392, 31856618.92, 2651700600.881915, 0.0001280833297955984, 156441.13027875638], 'c': [2.171031633284392, 31856618.92, 2651700600.881915]}"
1673165400,"{'v': [2.17298075575198, 31809529.64, 2654081261.365741, 0.00012816947372459828, 156546.3465753728], 'c': [2.17298075575198, 31809529.64, 2654081261.365741]}"
1673166000,"{'v': [2.1721330675339785, 31777317.38, 2653045893.975154, 0.00012812133087227557, 156487.54483868915], 'c': [2.1721330675339785, 31777317.38, 2653045893.975154]}"
1673166900,"{'v': [2.173777754962212, 31828286.14, 2655054717.1423745, 0.00012822374355850219, 156612.63181459572], 'c': [2.173777754962212, 31828286.14, 2655054717.1423745]}"
1673167800,"{'v': [2.1713058914379886, 31729420.44, 2652035580.114617, 0.00012810647305138207, 156469.39747870274], 'c': [2.1713058914379886, 31729420.44, 2652035580.114617]}"
1673168700,"{'v': [2.1717051618586036, 31687630.87, 2652523249.477895, 0.0001281030228376159, 156465.18338353402], 'c': [2.1717051618586036, 31687630.87, 2652523249.477895]}"
1673169600,"{'v': [2.1683777055649096, 31577215.16, 2648459090.431051, 0.0001278751882167757, 156186.90590856713], 'c': [2.1683777055649096, 31577215.16, 2648459090.431051]}"
1673170500,"{'v': [2.16547421499708, 31438730.54, 2644912763.6224813, 0.00012763596745042716, 155894.72138202927], 'c': [2.16547421499708, 31438730.54, 2644912763.6224813]}"
1673171400,"{'v': [2.166186077417803, 31353811.93, 2645782233.223862, 0.00012785067083223564, 156156.96034613487], 'c': [2.166186077417803, 31353811.93, 2645782233.223862]}"
1673172300,"{'v': [2.1646804837294247, 31174528.48, 2643943299.3147707, 0.000127730247471889, 156009.87511158752], 'c': [2.1646804837294247, 31174528.48, 2643943299.3147707]}"
1673172900,"{'v': [2.166353004318546, 31135004.97, 2645986117.93757, 0.00012785169494990663, 156158.2112046677], 'c': [2.166353004318546, 31135004.97, 2645986117.93757]}"
1673173800,"{'v': [2.1646684247873997, 31175706.96, 2643928570.5087395, 0.00012776897815104714, 156057.1808088522], 'c': [2.1646684247873997, 31175706.96, 2643928570.5087395]}"
1673174700,"{'v': [2.1671789266469506, 31096443.12, 2646994900.4448977, 0.00012792017180914748, 156241.84892141563], 'c': [2.1671789266469506, 31096443.12, 2646994900.4448977]}"
1673175600,"{'v': [2.1679198640830433, 31027687.15, 2647899882.3043885, 0.00012794473032607862, 156271.84472299894], 'c': [2.1679198640830433, 31027687.15, 2647899882.3043885]}"
1673176500,"{'v': [2.1657138725906164, 31033748.64, 2645205481.6902623, 0.0001278195438420581, 156118.94180357104], 'c': [2.1657138725906164, 31033748.64, 2645205481.6902623]}"
1673177400,"{'v': [2.165423553232889, 31048187.5, 2644850885.283867, 0.0001278291511879873, 156130.67622723524], 'c': [2.165423553232889, 31048187.5, 2644850885.283867]}"
1673178300,"{'v': [2.1674860035388486, 31011199.54, 2647369964.5233197, 0.00012794732586372186, 156275.01491574172], 'c': [2.1674860035388486, 31011199.54, 2647369964.5233197]}"
1673179200,"{'v': [2.1748459092691443, 31121600.21, 2656359362.074352, 0.00012839345918719652, 156819.92268391713], 'c': [2.1748459092691443, 31121600.21, 2656359362.074352]}"
1673179800,"{'v': [2.177178557259892, 31168264.67, 2659208461.0851083, 0.00012854296170600058, 157002.5252369469], 'c': [2.177178557259892, 31168264.67, 2659208461.0851083]}"
1673180700,"{'v': [2.179741817134258, 31150615.14, 2662339229.722869, 0.00012871516772372516, 157212.857870371], 'c': [2.179741817134258, 31150615.14, 2662339229.722869]}"
1673181600,"{'v': [2.1788685621052837, 31216422.79, 2661272634.9991655, 0.00012865679225229127, 157141.5580006202], 'c': [2.1788685621052837, 31216422.79, 2661272634.9991655]}"
1673182500,"{'v': [2.1772733477061337, 31218728.12, 2659324238.2480955, 0.00012856543872661369, 157029.9786964691], 'c': [2.1772733477061337, 31218728.12, 2659324238.2480955]}"
1673183400,"{'v': [2.1773231723955417, 31239456.16, 2659385094.1825814, 0.00012860821781041646, 157082.2291199479], 'c': [2.1773231723955417, 31239456.16, 2659385094.1825814]}"
1673184300,"{'v': [2.1748349683278554, 31315657.09, 2656345998.79574, 0.00012838009992192153, 156803.60566153296], 'c': [2.1748349683278554, 31315657.09, 2656345998.79574]}"
1673185200,"{'v': [2.1757187434738965, 31333276.8, 2657425442.802853, 0.00012843258761126232, 156867.71418728176], 'c': [2.1757187434738965, 31333276.8, 2657425442.802853]}"
1673186100,"{'v': [2.174695586143433, 31412593.06, 2656175757.2310762, 0.00012840641582706957, 156835.74793915986], 'c': [2.174695586143433, 31412593.06, 2656175757.2310762]}"
1673186700,"{'v': [2.178681925368138, 31414043.85, 2661044676.667998, 0.0001286372846245375, 157117.73136104323], 'c': [2.178681925368138, 31414043.85, 2661044676.667998]}"
1673187600,"{'v': [2.1833648625994826, 31483464.65, 2666764421.7329106, 0.0001288737903818977, 157406.5997723963], 'c': [2.1833648625994826, 31483464.65, 2666764421.7329106]}"
1673188500,"{'v': [2.1860693376291356, 31498214.69, 2670067670.728114, 0.00012899908866188722, 157559.63923955275], 'c': [2.1860693376291356, 31498214.69, 2670067670.728114]}"
1673189400,"{'v': [2.19038634715362, 31653891.99, 2675340471.2597075, 0.00012919869060349384, 157803.433286761], 'c': [2.19038634715362, 31653891.99, 2675340471.2597075]}"
1673190300,"{'v': [2.1816762536539094, 31816096.11, 2664701952.7725406, 0.00012870939787401666, 157205.8105691228], 'c': [2.1816762536539094, 31816096.11, 2664701952.7725406]}"
1673191200,"{'v': [2.1771139929524677, 31951490.43, 2659129602.1637697, 0.00012845965265184604, 156900.77145981454], 'c': [2.1771139929524677, 31951490.43, 2659129602.1637697]}"
1673192100,"{'v': [2.177322106953612, 31899034.82, 2659383792.85055, 0.00012841913275545876, 156851.2804105131], 'c': [2.177322106953612, 31899034.82, 2659383792.85055]}"
1673193000,"{'v': [2.180239407815937, 31951687.16, 2662946987.569126, 0.00012843311480413664, 156868.35810128108], 'c': [2.180239407815937, 31951687.16, 2662946987.569126]}"
1673193600,"{'v': [2.177082012481578, 31978692.08, 2659090541.178856, 0.0001280857915881364, 156444.1371150697], 'c': [2.177082012481578, 31978692.08, 2659090541.178856]}"
1673194500,"{'v': [2.1800849332396472, 32018633.16, 2662758312.139211, 0.00012849648229737963, 156945.75523236507], 'c': [2.1800849332396472, 32018633.16, 2662758312.139211]}"
1673195400,"{'v': [2.179810124431012, 32029418.36, 2662422660.335795, 0.0001286001183259338, 157072.33640003527], 'c': [2.179810124431012, 32029418.36, 2662422660.335795]}"
1673196300,"{'v': [2.1824751782876044, 32087101.16, 2665677760.2636657, 0.0001287802908797169, 157292.39937000975], 'c': [2.1824751782876044, 32087101.16, 2665677760.2636657]}"
1673197200,"{'v': [2.184635131491777, 32137471.33, 2668315929.658147, 0.00012890854419358395, 157449.04811903412], 'c': [2.184635131491777, 32137471.33, 2668315929.658147]}"
1673198100,"{'v': [2.183408457664378, 32190850.17, 2666817668.79666, 0.00012882370096480933, 157345.42049920894], 'c': [2.183408457664378, 32190850.17, 2666817668.79666]}"
1673199000,"{'v': [2.1841242815826964, 32274014.29, 2667691976.975882, 0.00012884740599486858, 157374.373850919], 'c': [2.1841242815826964, 32274014.29, 2667691976.975882]}"
1673199900,"{'v': [2.1820438197085386, 32287589.41, 2665150898.3857603, 0.00012876409426784485, 157272.61680914104], 'c': [2.1820438197085386, 32287589.41, 2665150898.3857603]}"
1673200500,"{'v': [2.1831720400747567, 32257917.52, 2666528908.0734873, 0.00012892288567708317, 157466.56482391738], 'c': [2.1831720400747567, 32257917.52, 2666528908.0734873]}"
1673201400,"{'v': [2.185119821920254, 32373716.06, 2668907931.119908, 0.000129031129451505, 157598.7738978321], 'c': [2.185119821920254, 32373716.06, 2668907931.119908]}"
1673202300,"{'v': [2.186861642432842, 32394212.3, 2671035392.751073, 0.0001290650579346776, 157640.21418724867], 'c': [2.186861642432842, 32394212.3, 2671035392.751073]}"
1673203200,"{'v': [2.1833903071592173, 32391106.5, 2666795499.748221, 0.0001288664180154358, 157397.59515529295], 'c': [2.1833903071592173, 32391106.5, 2666795499.748221]}"
1673204100,"{'v': [2.1835290027308245, 32382329.29, 2666964902.6831813, 0.0001289257171992582, 157470.023248446], 'c': [2.1835290027308245, 32382329.29, 2666964902.6831813]}"
1673205000,"{'v': [2.181454960810844, 32339393.43, 2664431665.4326735, 0.00012879978831464137, 157316.21356005297], 'c': [2.181454960810844, 32339393.43, 2664431665.4326735]}"
1673205900,"{'v': [2.1828634581665587, 32402636.21, 2666152005.766379, 0.00012883918802351343, 157364.33641100035], 'c': [2.1828634581665587, 32402636.21, 2666152005.766379]}"
1673206800,"{'v': [2.183037826454377, 32444599.34, 2666364979.3990493, 0.00012884689168492832, 157373.74567215052], 'c': [2.183037826454377, 32444599.34, 2666364979.3990493]}"
1673207400,"{'v': [2.183400203575313, 32481066.73, 2666807587.2425275, 0.00012884819490283902, 157375.33742404575], 'c': [2.183400203575313, 32481066.73, 2666807587.2425275]}"
1673208300,"{'v': [2.1852774791420337, 32467443.71, 2669100493.836783, 0.00012900095001243256, 157561.9126953071], 'c': [2.1852774791420337, 32467443.71, 2669100493.836783]}"
1673209200,"{'v': [2.191034442979681, 32967337.54, 2676132056.2670593, 0.0001292732509115081, 157894.50133502533], 'c': [2.191034442979681, 32967337.54, 2676132056.2670593]}"
1673210100,"{'v': [2.1894281545811514, 32985995.01, 2674170133.720069, 0.00012905613204368876, 157629.3120934534], 'c': [2.1894281545811514, 32985995.01, 2674170133.720069]}"
1673211000,"{'v': [2.194040065509988, 33057081.43, 2679803127.1752167, 0.00012927049165554274, 157891.13117653053], 'c': [2.194040065509988, 33057081.43, 2679803127.1752167]}"
1673211900,"{'v': [2.191912029017256, 33047038.87, 2677203940.889783, 0.00012912874089855952, 157717.9966345436], 'c': [2.191912029017256, 33047038.87, 2677203940.889783]}"
1673212800,"{'v': [2.192835250985228, 33082275.55, 2678331565.291789, 0.00012918428395583564, 157785.83699029702], 'c': [2.192835250985228, 33082275.55, 2678331565.291789]}"
1673213400,"{'v': [2.1916174826011776, 33133299.32, 2676844181.5493255, 0.00012908914378026003, 157669.63266748842], 'c': [2.1916174826011776, 33133299.32, 2676844181.5493255]}"
1673214300,"{'v': [2.186394163458101, 33117634.81, 2670464413.3792315, 0.00012876446208943013, 157273.06606685967], 'c': [2.186394163458101, 33117634.81, 2670464413.3792315]}"
1673215200,"{'v': [2.1862476105276567, 33195430.46, 2670285413.4569077, 0.00012889499865813324, 157432.50358603735], 'c': [2.1862476105276567, 33195430.46, 2670285413.4569077]}"
1673216100,"{'v': [2.1895678048557503, 33231968.35, 2674340702.730391, 0.00012905504121919824, 157627.9797591324], 'c': [2.1895678048557503, 33231968.35, 2674340702.730391]}"
1673217000,"{'v': [2.189368243096822, 33291835.74, 2674096957.7623534, 0.00012900821123231794, 157570.7815578506], 'c': [2.189368243096822, 33291835.74, 2674096957.7623534]}"
1673217900,"{'v': [2.1863134246497697, 33336410.69, 2670365798.9033833, 0.00012877243678950117, 157282.8063749446], 'c': [2.1863134246497697, 33336410.69, 2670365798.9033833]}"
1673218800,"{'v': [2.1878001491376486, 33335450.24, 2672181685.9487, 0.0001288632599614688, 157393.737904448], 'c': [2.1878001491376486, 33335450.24, 2672181685.9487]}"
1673219700,"{'v': [2.18889760084276, 33360904.55, 2673522114.757414, 0.0001285680384303153, 157033.1539776405], 'c': [2.18889760084276, 33360904.55, 2673522114.757414]}"
1673220300,"{'v': [2.1873892835519815, 33452303.15, 2671679854.237134, 0.000128291644982189, 156695.56669367835], 'c': [2.1873892835519815, 33452303.15, 2671679854.237134]}"
1673221200,"{'v': [2.1845602809754174, 33456446.78, 2668224507.1490664, 0.00012819471395697626, 156577.175025008], 'c': [2.1845602809754174, 33456446.78, 2668224507.1490664]}"
1673222100,"{'v': [2.181565499851521, 33502987.55, 2664566677.947503, 0.00012787393986565853, 156185.3811710383], 'c': [2.181565499851521, 33502987.55, 2664566677.947503]}"
1673223000,"{'v': [2.190955212458749, 33630719.41, 2676035284.015222, 0.00012788577671738564, 156199.8387157171], 'c': [2.190955212458749, 33630719.41, 2676035284.015222]}"
1673223900,"{'v': [2.1890843768654067, 33623884.93, 2673750243.2120566, 0.0001278885108958801, 156203.1782445593], 'c': [2.1890843768654067, 33623884.93, 2673750243.2120566]}"
1673224800,"{'v': [2.1887055704100926, 33669225.96, 2673287568.560166, 0.0001277231960707792, 156001.26252194427], 'c': [2.1887055704100926, 33669225.96, 2673287568.560166]}"
1673225700,"{'v': [2.191777757591, 33771555.64, 2677039941.6111794, 0.00012775000368245228, 156034.00537050157], 'c': [2.191777757591, 33771555.64, 2677039941.6111794]}"
1673226600,"{'v': [2.1981014989635144, 32685599.5, 2684763766.791907, 0.00012807787611417322, 156434.46914582286], 'c': [2.1981014989635144, 32685599.5, 2684763766.791907]}"
1673227200,"{'v': [2.196075971124653, 32666201.96, 2682289784.697373, 0.0001280119317565105, 156353.92462949333], 'c': [2.196075971124653, 32666201.96, 2682289784.697373]}"
1673228100,"{'v': [2.197367981504041, 32728519.43, 2683867847.7006216, 0.00012805237921729475, 156403.32720586366], 'c': [2.197367981504041, 32728519.43, 2683867847.7006216]}"
1673229000,"{'v': [2.2029521934835166, 32798895.99, 2690688410.8073077, 0.00012815983823387953, 156534.5777756294], 'c': [2.2029521934835166, 32798895.99, 2690688410.8073077]}"
1673229900,"{'v': [2.2051612255057136, 32929600.66, 2693386525.128086, 0.0001284127444556879, 156843.47773362842], 'c': [2.2051612255057136, 32929600.66, 2693386525.128086]}"
